X,Y,Z
263.73558,2543.9707,11.5
266.82992,2543.9707,11.5
269.92426,2543.9707,11.5
273.0186,2543.9707,11.5
276.11294,2543.9707,11.5
279.20727999999997,2543.9707,11.5
282.30161999999996,2543.9707,11.5
285.39596,2543.9707,11.5
288.4903,2543.9707,11.5
291.58464000000004,2543.9707,11.5
294.67898,2543.9707,11.5
297.77332,2543.9707,11.5
300.86766,2543.9707,11.5
303.962,2543.9707,11.5
307.05634,2543.9707,11.5
310.15067999999997,2543.9707,11.5
313.24502,2543.9707,11.5
316.33936,2543.9707,11.5
319.4337,2543.9707,11.5
322.52804000000003,2543.9707,11.5
325.62238,2543.9707,11.5
328.71672,2543.9707,11.5
331.81106,2543.9707,11.5
334.9054,2543.9707,11.5
337.99974,2543.9707,11.5
341.09407999999996,2543.9707,11.5
344.18842,2543.9707,11.5
347.28276,2543.9707,11.5
350.3771,2543.9707,11.5
353.47144000000003,2543.9707,11.5
356.56578,2543.9707,11.5
359.66012,2543.9707,11.5
362.75446,2543.9707,11.5
365.8488,2543.9707,11.5
368.94313999999997,2543.9707,11.5
372.03747999999996,2543.9707,11.5
375.13182,2543.9707,11.5
378.22616,2543.9707,11.5
381.3205,2543.9707,11.5
384.41484,2543.9707,11.5
387.50918,2543.9707,11.5
390.60352,2543.9707,11.5
393.69786,2543.9707,11.5
396.7922,2543.9707,11.5
399.88653999999997,2543.9707,11.5
402.98087999999996,2543.9707,11.5
406.07522,2543.9707,11.5
409.16956,2543.9707,11.5
412.2639,2543.9707,11.5
415.35823999999997,2543.9707,11.5
418.45258,2543.9707,11.5
421.54692,2543.9707,11.5
424.64126,2543.9707,11.5
427.7356,2543.9707,11.5
430.82993999999997,2543.9707,11.5
433.92428,2543.9707,11.5
437.01862,2543.9707,11.5
440.11296,2543.9707,11.5
443.2073,2543.9707,11.5
446.30164,2543.9707,11.5
449.39598,2543.9707,11.5
452.49032,2543.9707,11.5
455.58466,2543.9707,11.5
458.679,2543.9707,11.5
149.245,2547.3376,11.5
152.33934,2547.3376,11.5
155.43368,2547.3376,11.5
158.52802,2547.3376,11.5
